income_category,2013,2023,growth_perc,indicator_desc
Low income group,14.277558611111111,47.69613538461538,234.06366370996508,C/año contiene el promedio del porcentaje de población que usa internet y luego se muestra la tasa de crecimiento de la década por grupo en growth_perc
High income group,58.58978650793651,86.05999137931035,46.885654494837176,C/año contiene el promedio del porcentaje de población que usa internet y luego se muestra la tasa de crecimiento de la década por grupo en growth_perc
